# Trust Car Platform - Vehicle Master Data
# Format: type,id,parent_id,name,name_en,body_type,production_start_year,production_end_year,display_order,country
# type: maker / model / grade
# parent_id: maker_id (for model), model_id (for grade)
# production_end_year: empty = currently produced
# body_type: sedan / hatchback / suv / minivan / kei / coupe / wagon / convertible / truck / van
#
# --- HOW TO UPDATE ---
# 1. Add a new row to this CSV
# 2. Run: dart scripts/import_vehicle_master.dart
# 3. Firestore is updated immediately
# ----------------------

type,id,parent_id,name,name_en,body_type,production_start_year,production_end_year,display_order,country
model,subaru_outback,subaru,アウトバック,Outback,wagon,1994,,4,
model,subaru_xv,subaru,クロストレック,Crosstrek,suv,2012,,5,
model,subaru_wrx,subaru,WRX S4,WRX,sedan,2014,,6,
model,subaru_brz,subaru,BRZ,BRZ,coupe,2012,,7,
model,subaru_other,subaru,その他,Other,,,100,

# ==== SUZUKI MODELS ====
model,suzuki_jimny,suzuki,ジムニー,Jimny,suv,1970,,1,
model,suzuki_jimny_sierra,suzuki,ジムニーシエラ,Jimny Sierra,suv,1998,,2,
model,suzuki_swift,suzuki,スイフト,Swift,hatchback,2000,,3,
model,suzuki_hustler,suzuki,ハスラー,Hustler,kei,2014,,4,
model,suzuki_spacia,suzuki,スペーシア,Spacia,kei,2013,,5,
model,suzuki_alto,suzuki,アルト,Alto,kei,1979,,6,
model,suzuki_solio,suzuki,ソリオ,Solio,minivan,2010,,7,
model,suzuki_other,suzuki,その他,Other,,,100,

# ==== DAIHATSU MODELS ====
model,daihatsu_tanto,daihatsu,タント,Tanto,kei,2003,,1,
model,daihatsu_move,daihatsu,ムーヴ,Move,kei,1995,,2,
model,daihatsu_rocky,daihatsu,ロッキー,Rocky,suv,2019,,3,
model,daihatsu_mira,daihatsu,ミラ,Mira,kei,1980,,4,
model,daihatsu_taft,daihatsu,タフト,Taft,kei,2020,,5,
model,daihatsu_wake,daihatsu,ウェイク,Wake,kei,2014,,6,
model,daihatsu_other,daihatsu,その他,Other,,,100,

# ==== MITSUBISHI MODELS ====
model,mitsubishi_outlander,mitsubishi,アウトランダー,Outlander,suv,2001,,1,
model,mitsubishi_delica,mitsubishi,デリカ,Delica,minivan,1968,,2,
model,mitsubishi_eclipse,mitsubishi,エクリプスクロス,Eclipse Cross,suv,2017,,3,
model,mitsubishi_ek,mitsubishi,eKワゴン,eK Wagon,kei,2001,,4,
model,mitsubishi_rvr,mitsubishi,RVR,RVR,suv,2010,,5,
model,mitsubishi_other,mitsubishi,その他,Other,,,100,

# ==== LEXUS MODELS ====
model,lexus_rx,lexus,RX,RX,suv,1998,,1,
model,lexus_nx,lexus,NX,NX,suv,2014,,2,
model,lexus_is,lexus,IS,IS,sedan,1999,,3,
model,lexus_es,lexus,ES,ES,sedan,1989,,4,
model,lexus_lx,lexus,LX,LX,suv,1996,,5,
model,lexus_ux,lexus,UX,UX,suv,2018,,6,
model,lexus_lc,lexus,LC,LC,coupe,2017,,7,
model,lexus_ct,lexus,CT,CT,hatchback,2011,,8,
model,lexus_other,lexus,その他,Other,,,100,

# ==== OTHER ====
model,other_other,other,その他,Other,,,100,

# ==== GRADES (common grades shared across models) ====
# These are "template" grades. VehicleMasterService uses commonGrades for all models.
# To add model-specific grades, add rows with the model's id as parent_id.
grade,grade_s,,S,S,,,1,
grade,grade_g,,G,G,,,2,
grade,grade_x,,X,X,,,3,
grade,grade_z,,Z,Z,,,4,
grade,grade_hybrid,,ハイブリッド,Hybrid,,,5,
grade,grade_4wd,,4WD,4WD,,,6,
grade,grade_turbo,,ターボ,Turbo,,,7,
grade,grade_custom,,カスタム,Custom,,,8,
grade,grade_l,,L,L,,,9,
grade,grade_e,,E,E,,,10,
grade,grade_f,,F,F,,,11,
grade,grade_rs,,RS,RS,,,12,
grade,grade_sport,,スポーツ,Sport,,,13,
grade,grade_phev,,PHEV,PHEV,,,14,
grade,grade_ev,,EV,EV,,,15,
grade,grade_other,,その他,Other,,,100,
